"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"85-89 years"	"85-89"	"2005"	"2005"	1673	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2006"	"2006"	1630	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2007"	"2007"	1725	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2008"	"2008"	1652	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2009"	"2009"	1750	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2010"	"2010"	1716	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2011"	"2011"	1957	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2012"	"2012"	1841	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2013"	"2013"	1865	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2014"	"2014"	1843	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2015"	"2015"	1821	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2016"	"2016"	1896	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2017"	"2017"	2019	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2018"	"2018"	1970	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2019"	"2019"	2027	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2020 "	"2020"	2230	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"1999"	"1999"	892	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2000"	"2000"	913	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2001"	"2001"	960	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2002"	"2002"	1030	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2003"	"2003"	1095	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2004"	"2004"	1020	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2005"	"2005"	1132	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2006"	"2006"	1127	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2007"	"2007"	1167	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2008"	"2008"	1225	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2009"	"2009"	1199	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2010"	"2010"	1310	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2011"	"2011"	1466	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2012"	"2012"	1498	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2013"	"2013"	1425	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2014"	"2014"	1441	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2015"	"2015"	1588	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2016"	"2016"	1536	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2017"	"2017"	1608	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2018"	"2018"	1646	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2019"	"2019"	1586	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2020 "	"2020"	1799	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"1999"	"1999"	345	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2000"	"2000"	325	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2001"	"2001"	327	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2002"	"2002"	406	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2003"	"2003"	403	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2004"	"2004"	383	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2005"	"2005"	398	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2006"	"2006"	412	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2007"	"2007"	457	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2008"	"2008"	481	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2009"	"2009"	483	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2010"	"2010"	521	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2011"	"2011"	581	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2012"	"2012"	564	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2013"	"2013"	546	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2014"	"2014"	600	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2015"	"2015"	631	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2016"	"2016"	598	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2017"	"2017"	688	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2018"	"2018"	736	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2019"	"2019"	757	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2020 "	"2020"	831	Not Applicable	Not Applicable
	"100+ years"	"100+"	"1999"	"1999"	67	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2000"	"2000"	71	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2001"	"2001"	75	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2002"	"2002"	74	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2003"	"2003"	73	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2004"	"2004"	74	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2005"	"2005"	64	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2006"	"2006"	81	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2007"	"2007"	72	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2008"	"2008"	76	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2009"	"2009"	87	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2010"	"2010"	108	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2011"	"2011"	102	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2012"	"2012"	107	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2013"	"2013"	104	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2014"	"2014"	129	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2015"	"2015"	114	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2016"	"2016"	128	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2017"	"2017"	121	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2018"	"2018"	145	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2019"	"2019"	141	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2020 "	"2020"	163	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"States: Idaho (16)"
"Group By: Five-Year Age Groups; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 15, 2024 11:32:39 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Oct 15, 2024 11:32:39 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"6. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
