"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"65-74 years"	"65-74"	10	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"85+ years"	"85+"	12	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"75-84 years"	"75-84"	12	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	12	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	11	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	12	0.0%
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Butte County, ID"	"16023"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"85+ years"	"85+"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"85+ years"	"85+"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Camas County, ID"	"16025"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"< 1 year"	"1"	16	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"15-24 years"	"15-24"	37	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"25-34 years"	"25-34"	38	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"35-44 years"	"35-44"	46	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"45-54 years"	"45-54"	100	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"55-64 years"	"55-64"	211	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"65-74 years"	"65-74"	343	0.3%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"75-84 years"	"75-84"	393	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"85+ years"	"85+"	458	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"< 1 year"	"1"	13	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"5-14 years"	"5-14"	10	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"15-24 years"	"15-24"	23	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"25-34 years"	"25-34"	33	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"35-44 years"	"35-44"	39	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"45-54 years"	"45-54"	99	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"55-64 years"	"55-64"	199	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"65-74 years"	"65-74"	319	0.3%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"75-84 years"	"75-84"	426	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"85+ years"	"85+"	453	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"< 1 year"	"1"	15	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"15-24 years"	"15-24"	32	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"25-34 years"	"25-34"	36	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"35-44 years"	"35-44"	69	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"45-54 years"	"45-54"	98	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"55-64 years"	"55-64"	209	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"65-74 years"	"65-74"	382	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"75-84 years"	"75-84"	543	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"85+ years"	"85+"	532	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"< 1 year"	"1"	11	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"15-24 years"	"15-24"	37	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"25-34 years"	"25-34"	50	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"35-44 years"	"35-44"	81	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"45-54 years"	"45-54"	123	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"55-64 years"	"55-64"	266	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"65-74 years"	"65-74"	503	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"75-84 years"	"75-84"	502	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"85+ years"	"85+"	547	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"< 1 year"	"1"	21	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"15-24 years"	"15-24"	24	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"25-34 years"	"25-34"	46	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"35-44 years"	"35-44"	68	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"45-54 years"	"45-54"	119	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"55-64 years"	"55-64"	254	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"65-74 years"	"65-74"	433	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"75-84 years"	"75-84"	593	0.6%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"85+ years"	"85+"	524	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	19	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	37	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	40	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	77	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	101	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	222	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	409	0.4%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	564	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	495	0.5%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	21	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	27	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	41	0.0%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	58	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	127	0.1%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	249	0.2%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	349	0.3%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	280	0.3%
	"Idaho"	"16"	"Canyon County, ID"	"16027"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Caribou County, ID"	"16029"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
