"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"2008"	"2008"	"< 1 year"	"1"	149	24737	602.3	505.6	699.1	49.3	0.1%
	"Idaho"	"16"	"2008"	"2008"	"1-4 years"	"1-4"	23	96835	23.8	15.1	35.6	5.0	0.0%
	"Idaho"	"16"	"2008"	"2008"	"5-9 years"	"5-9"	16	117013	Unreliable	7.8	22.2	3.4	0.0%
	"Idaho"	"16"	"2008"	"2008"	"10-14 years"	"10-14"	23	113774	20.2	12.8	30.3	4.2	0.0%
	"Idaho"	"16"	"2008"	"2008"	"15-19 years"	"15-19"	78	116463	67.0	52.9	83.6	7.6	0.0%
	"Idaho"	"16"	"2008"	"2008"	"20-24 years"	"20-24"	83	108852	76.3	60.7	94.5	8.4	0.0%
	"Idaho"	"16"	"2008"	"2008"	"25-29 years"	"25-29"	72	107103	67.2	52.6	84.7	7.9	0.0%
	"Idaho"	"16"	"2008"	"2008"	"30-34 years"	"30-34"	109	96907	112.5	91.4	133.6	10.8	0.0%
	"Idaho"	"16"	"2008"	"2008"	"35-39 years"	"35-39"	129	97527	132.3	109.4	155.1	11.6	0.0%
	"Idaho"	"16"	"2008"	"2008"	"40-44 years"	"40-44"	186	95229	195.3	167.2	223.4	14.3	0.1%
	"Idaho"	"16"	"2008"	"2008"	"45-49 years"	"45-49"	283	105115	269.2	237.9	300.6	16.0	0.1%
	"Idaho"	"16"	"2008"	"2008"	"50-54 years"	"50-54"	443	103339	428.7	388.8	468.6	20.4	0.2%
	"Idaho"	"16"	"2008"	"2008"	"55-59 years"	"55-59"	564	92268	611.3	560.8	661.7	25.7	0.2%
	"Idaho"	"16"	"2008"	"2008"	"60-64 years "	"60-64"	675	75980	888.4	821.4	955.4	34.2	0.3%
	"Idaho"	"16"	"2008"	"2008"	"65-69 years"	"65-69"	849	58262	1457.2	1359.2	1555.2	50.0	0.3%
	"Idaho"	"16"	"2008"	"2008"	"70-74 years"	"70-74"	960	42952	2235.1	2093.7	2376.4	72.1	0.4%
	"Idaho"	"16"	"2008"	"2008"	"75-79 years"	"75-79"	1256	32969	3809.6	3598.9	4020.3	107.5	0.5%
	"Idaho"	"16"	"2008"	"2008"	"80-84 years"	"80-84"	1630	25311	6439.9	6127.3	6752.5	159.5	0.6%
	"Idaho"	"16"	"2008"	"2008"	"85-89 years"	"85-89"	1652	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2008"	"2008"	"90-94 years"	"90-94"	1225	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"2008"	"2008"	"95-99 years"	"95-99"	481	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2008"	"2008"	"100+ years"	"100+"	76	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2008"	"2008"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2009"	"2009"	"< 1 year"	"1"	129	23793	542.2	448.6	635.7	47.7	0.0%
	"Idaho"	"16"	"2009"	"2009"	"1-4 years"	"1-4"	21	98036	21.4	13.3	32.7	4.7	0.0%
	"Idaho"	"16"	"2009"	"2009"	"5-9 years"	"5-9"	15	119586	Unreliable	7.0	20.7	3.2	0.0%
	"Idaho"	"16"	"2009"	"2009"	"10-14 years"	"10-14"	21	115442	18.2	11.3	27.8	4.0	0.0%
	"Idaho"	"16"	"2009"	"2009"	"15-19 years"	"15-19"	57	115965	49.2	37.2	63.7	6.5	0.0%
	"Idaho"	"16"	"2009"	"2009"	"20-24 years"	"20-24"	90	108429	83.0	66.7	102.0	8.7	0.0%
	"Idaho"	"16"	"2009"	"2009"	"25-29 years"	"25-29"	97	107098	90.6	73.4	110.5	9.2	0.0%
	"Idaho"	"16"	"2009"	"2009"	"30-34 years"	"30-34"	104	100627	103.4	83.5	123.2	10.1	0.0%
	"Idaho"	"16"	"2009"	"2009"	"35-39 years"	"35-39"	145	97398	148.9	124.6	173.1	12.4	0.1%
	"Idaho"	"16"	"2009"	"2009"	"40-44 years"	"40-44"	189	94547	199.9	171.4	228.4	14.5	0.1%
	"Idaho"	"16"	"2009"	"2009"	"45-49 years"	"45-49"	330	104871	314.7	280.7	348.6	17.3	0.1%
	"Idaho"	"16"	"2009"	"2009"	"50-54 years"	"50-54"	458	104027	440.3	399.9	480.6	20.6	0.2%
	"Idaho"	"16"	"2009"	"2009"	"55-59 years"	"55-59"	550	95052	578.6	530.3	627.0	24.7	0.2%
	"Idaho"	"16"	"2009"	"2009"	"60-64 years "	"60-64"	776	79845	971.9	903.5	1040.3	34.9	0.3%
	"Idaho"	"16"	"2009"	"2009"	"65-69 years"	"65-69"	865	61325	1410.5	1316.5	1504.5	48.0	0.3%
	"Idaho"	"16"	"2009"	"2009"	"70-74 years"	"70-74"	929	44808	2073.3	1940.0	2206.6	68.0	0.4%
	"Idaho"	"16"	"2009"	"2009"	"75-79 years"	"75-79"	1263	33621	3756.6	3549.4	3963.8	105.7	0.5%
	"Idaho"	"16"	"2009"	"2009"	"80-84 years"	"80-84"	1540	25398	6063.5	5760.6	6366.3	154.5	0.6%
	"Idaho"	"16"	"2009"	"2009"	"85-89 years"	"85-89"	1750	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2009"	"2009"	"90-94 years"	"90-94"	1199	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"2009"	"2009"	"95-99 years"	"95-99"	483	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2009"	"2009"	"100+ years"	"100+"	87	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2009"	"2009"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2010"	"2010"	"< 1 year"	"1"	112	23610	474.4	386.5	562.2	44.8	0.0%
	"Idaho"	"16"	"2010"	"2010"	"1-4 years"	"1-4"	32	98162	32.6	22.3	46.0	5.8	0.0%
	"Idaho"	"16"	"2010"	"2010"	"5-9 years"	"5-9"	14	121195	Unreliable	6.3	19.4	3.1	0.0%
	"Idaho"	"16"	"2010"	"2010"	"10-14 years"	"10-14"	16	116955	Unreliable	7.8	22.2	3.4	0.0%
	"Idaho"	"16"	"2010"	"2010"	"15-19 years"	"15-19"	65	115359	56.3	43.5	71.8	7.0	0.0%
	"Idaho"	"16"	"2010"	"2010"	"20-24 years"	"20-24"	98	108209	90.6	73.5	110.4	9.1	0.0%
	"Idaho"	"16"	"2010"	"2010"	"25-29 years"	"25-29"	104	106734	97.4	78.7	116.2	9.6	0.0%
	"Idaho"	"16"	"2010"	"2010"	"30-34 years"	"30-34"	110	102231	107.6	87.5	127.7	10.3	0.0%
	"Idaho"	"16"	"2010"	"2010"	"35-39 years"	"35-39"	136	96845	140.4	116.8	164.0	12.0	0.1%
	"Idaho"	"16"	"2010"	"2010"	"40-44 years"	"40-44"	184	94764	194.2	166.1	222.2	14.3	0.1%
	"Idaho"	"16"	"2010"	"2010"	"45-49 years"	"45-49"	307	103560	296.4	263.3	329.6	16.9	0.1%
	"Idaho"	"16"	"2010"	"2010"	"50-54 years"	"50-54"	398	104977	379.1	341.9	416.4	19.0	0.2%
	"Idaho"	"16"	"2010"	"2010"	"55-59 years"	"55-59"	604	96997	622.7	573.0	672.4	25.3	0.2%
	"Idaho"	"16"	"2010"	"2010"	"60-64 years "	"60-64"	736	83316	883.4	819.6	947.2	32.6	0.3%
	"Idaho"	"16"	"2010"	"2010"	"65-69 years"	"65-69"	917	63428	1445.7	1352.2	1539.3	47.7	0.4%
	"Idaho"	"16"	"2010"	"2010"	"70-74 years"	"70-74"	1035	46106	2244.8	2108.1	2381.6	69.8	0.4%
	"Idaho"	"16"	"2010"	"2010"	"75-79 years"	"75-79"	1219	34278	3556.2	3356.6	3755.9	101.9	0.5%
	"Idaho"	"16"	"2010"	"2010"	"80-84 years"	"80-84"	1687	25614	6586.2	6271.9	6900.5	160.4	0.7%
	"Idaho"	"16"	"2010"	"2010"	"85-89 years"	"85-89"	1716	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2010"	"2010"	"90-94 years"	"90-94"	1310	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"2010"	"2010"	"95-99 years"	"95-99"	521	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2010"	"2010"	"100+ years"	"100+"	108	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2010"	"2010"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2011"	"2011"	"< 1 year"	"1"	112	22761	492.1	400.9	583.2	46.5	0.0%
	"Idaho"	"16"	"2011"	"2011"	"1-4 years"	"1-4"	30	96575	31.1	21.0	44.3	5.7	0.0%
	"Idaho"	"16"	"2011"	"2011"	"5-9 years"	"5-9"	14	121221	Unreliable	6.3	19.4	3.1	0.0%
	"Idaho"	"16"	"2011"	"2011"	"10-14 years"	"10-14"	14	118489	Unreliable	6.5	19.8	3.2	0.0%
	"Idaho"	"16"	"2011"	"2011"	"15-19 years"	"15-19"	87	116117	74.9	60.0	92.4	8.0	0.0%
	"Idaho"	"16"	"2011"	"2011"	"20-24 years"	"20-24"	91	109830	82.9	66.7	101.7	8.7	0.0%
	"Idaho"	"16"	"2011"	"2011"	"25-29 years"	"25-29"	85	105602	80.5	64.3	99.5	8.7	0.0%
	"Idaho"	"16"	"2011"	"2011"	"30-34 years"	"30-34"	83	104900	79.1	63.0	98.1	8.7	0.0%
	"Idaho"	"16"	"2011"	"2011"	"35-39 years"	"35-39"	135	95392	141.5	117.6	165.4	12.2	0.1%
	"Idaho"	"16"	"2011"	"2011"	"40-44 years"	"40-44"	186	96487	192.8	165.1	220.5	14.1	0.1%
	"Idaho"	"16"	"2011"	"2011"	"45-49 years"	"45-49"	315	100091	314.7	280.0	349.5	17.7	0.1%
	"Idaho"	"16"	"2011"	"2011"	"50-54 years"	"50-54"	441	106270	415.0	376.2	453.7	19.8	0.2%
	"Idaho"	"16"	"2011"	"2011"	"55-59 years"	"55-59"	616	99838	617.0	568.3	665.7	24.9	0.2%
	"Idaho"	"16"	"2011"	"2011"	"60-64 years "	"60-64"	810	88979	910.3	847.6	973.0	32.0	0.3%
	"Idaho"	"16"	"2011"	"2011"	"65-69 years"	"65-69"	896	66069	1356.2	1267.4	1445.0	45.3	0.3%
	"Idaho"	"16"	"2011"	"2011"	"70-74 years"	"70-74"	1102	48937	2251.9	2118.9	2384.8	67.8	0.4%
	"Idaho"	"16"	"2011"	"2011"	"75-79 years"	"75-79"	1282	35264	3635.4	3436.4	3834.4	101.5	0.5%
	"Idaho"	"16"	"2011"	"2011"	"80-84 years"	"80-84"	1622	25979	6243.5	5939.7	6547.4	155.0	0.6%
	"Idaho"	"16"	"2011"	"2011"	"85-89 years"	"85-89"	1957	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.8%
	"Idaho"	"16"	"2011"	"2011"	"90-94 years"	"90-94"	1466	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2011"	"2011"	"95-99 years"	"95-99"	581	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2011"	"2011"	"100+ years"	"100+"	102	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2011"	"2011"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2012"	"2012"	"< 1 year"	"1"	123	22190	554.3	456.3	652.3	50.0	0.0%
	"Idaho"	"16"	"2012"	"2012"	"1-4 years"	"1-4"	13	93782	Unreliable	7.4	23.7	3.8	0.0%
	"Idaho"	"16"	"2012"	"2012"	"5-9 years"	"5-9"	14	122203	Unreliable	6.3	19.2	3.1	0.0%
	"Idaho"	"16"	"2012"	"2012"	"10-14 years"	"10-14"	19	119227	Unreliable	9.6	24.9	3.7	0.0%
	"Idaho"	"16"	"2012"	"2012"	"15-19 years"	"15-19"	69	113782	60.6	47.2	76.7	7.3	0.0%
	"Idaho"	"16"	"2012"	"2012"	"20-24 years"	"20-24"	94	112316	83.7	67.6	102.4	8.6	0.0%
	"Idaho"	"16"	"2012"	"2012"	"25-29 years"	"25-29"	76	104520	72.7	57.3	91.0	8.3	0.0%
	"Idaho"	"16"	"2012"	"2012"	"30-34 years"	"30-34"	97	106007	91.5	74.2	111.6	9.3	0.0%
	"Idaho"	"16"	"2012"	"2012"	"35-39 years"	"35-39"	132	96780	136.4	113.1	159.7	11.9	0.1%
	"Idaho"	"16"	"2012"	"2012"	"40-44 years"	"40-44"	177	97144	182.2	155.4	209.0	13.7	0.1%
	"Idaho"	"16"	"2012"	"2012"	"45-49 years"	"45-49"	299	97266	307.4	272.6	342.2	17.8	0.1%
	"Idaho"	"16"	"2012"	"2012"	"50-54 years"	"50-54"	460	105768	434.9	395.2	474.7	20.3	0.2%
	"Idaho"	"16"	"2012"	"2012"	"55-59 years"	"55-59"	595	102087	582.8	536.0	629.7	23.9	0.2%
	"Idaho"	"16"	"2012"	"2012"	"60-64 years "	"60-64"	806	90078	894.8	833.0	956.6	31.5	0.3%
	"Idaho"	"16"	"2012"	"2012"	"65-69 years"	"65-69"	956	71794	1331.6	1247.2	1416.0	43.1	0.4%
	"Idaho"	"16"	"2012"	"2012"	"70-74 years"	"70-74"	1127	51549	2186.3	2058.6	2313.9	65.1	0.4%
	"Idaho"	"16"	"2012"	"2012"	"75-79 years"	"75-79"	1392	36388	3825.4	3624.5	4026.4	102.5	0.5%
	"Idaho"	"16"	"2012"	"2012"	"80-84 years"	"80-84"	1539	26237	5865.8	5572.7	6158.8	149.5	0.6%
	"Idaho"	"16"	"2012"	"2012"	"85-89 years"	"85-89"	1841	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2012"	"2012"	"90-94 years"	"90-94"	1498	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2012"	"2012"	"95-99 years"	"95-99"	564	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2012"	"2012"	"100+ years"	"100+"	107	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2012"	"2012"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2013"	"2013"	"< 1 year"	"1"	126	22089	570.4	470.8	670.0	50.8	0.0%
	"Idaho"	"16"	"2013"	"2013"	"1-4 years"	"1-4"	24	91398	26.3	16.8	39.1	5.4	0.0%
	"Idaho"	"16"	"2013"	"2013"	"5-9 years"	"5-9"	16	123137	Unreliable	7.4	21.1	3.2	0.0%
	"Idaho"	"16"	"2013"	"2013"	"10-14 years"	"10-14"	16	121179	Unreliable	7.5	21.4	3.3	0.0%
	"Idaho"	"16"	"2013"	"2013"	"15-19 years"	"15-19"	53	113634	46.6	34.9	61.0	6.4	0.0%
	"Idaho"	"16"	"2013"	"2013"	"20-24 years"	"20-24"	105	112021	93.7	75.8	111.7	9.1	0.0%
	"Idaho"	"16"	"2013"	"2013"	"25-29 years"	"25-29"	106	104997	101.0	81.7	120.2	9.8	0.0%
	"Idaho"	"16"	"2013"	"2013"	"30-34 years"	"30-34"	112	107299	104.4	85.0	123.7	9.9	0.0%
	"Idaho"	"16"	"2013"	"2013"	"35-39 years"	"35-39"	130	99067	131.2	108.7	153.8	11.5	0.1%
	"Idaho"	"16"	"2013"	"2013"	"40-44 years"	"40-44"	191	97734	195.4	167.7	223.1	14.1	0.1%
	"Idaho"	"16"	"2013"	"2013"	"45-49 years"	"45-49"	301	95048	316.7	280.9	352.5	18.3	0.1%
	"Idaho"	"16"	"2013"	"2013"	"50-54 years"	"50-54"	486	105379	461.2	420.2	502.2	20.9	0.2%
	"Idaho"	"16"	"2013"	"2013"	"55-59 years"	"55-59"	685	103117	664.3	614.5	714.0	25.4	0.3%
	"Idaho"	"16"	"2013"	"2013"	"60-64 years "	"60-64"	904	92895	973.1	909.7	1036.6	32.4	0.3%
	"Idaho"	"16"	"2013"	"2013"	"65-69 years"	"65-69"	1043	75744	1377.0	1293.4	1460.6	42.6	0.4%
	"Idaho"	"16"	"2013"	"2013"	"70-74 years"	"70-74"	1191	55467	2147.2	2025.3	2269.2	62.2	0.5%
	"Idaho"	"16"	"2013"	"2013"	"75-79 years"	"75-79"	1353	38020	3558.7	3369.0	3748.3	96.7	0.5%
	"Idaho"	"16"	"2013"	"2013"	"80-84 years"	"80-84"	1652	26773	6170.4	5872.8	6467.9	151.8	0.6%
	"Idaho"	"16"	"2013"	"2013"	"85-89 years"	"85-89"	1865	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2013"	"2013"	"90-94 years"	"90-94"	1425	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"2013"	"2013"	"95-99 years"	"95-99"	546	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2013"	"2013"	"100+ years"	"100+"	104	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2013"	"2013"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2014"	"2014"	"< 1 year"	"1"	125	22805	548.1	452.0	644.2	49.0	0.0%
	"Idaho"	"16"	"2014"	"2014"	"1-4 years"	"1-4"	20	91027	22.0	13.4	33.9	4.9	0.0%
	"Idaho"	"16"	"2014"	"2014"	"5-9 years"	"5-9"	19	123753	Unreliable	9.2	24.0	3.5	0.0%
	"Idaho"	"16"	"2014"	"2014"	"10-14 years"	"10-14"	32	122486	26.1	17.9	36.9	4.6	0.0%
	"Idaho"	"16"	"2014"	"2014"	"15-19 years"	"15-19"	52	114723	45.3	33.9	59.4	6.3	0.0%
	"Idaho"	"16"	"2014"	"2014"	"20-24 years"	"20-24"	101	112325	89.9	72.4	107.5	8.9	0.0%
	"Idaho"	"16"	"2014"	"2014"	"25-29 years"	"25-29"	110	107128	102.7	83.5	121.9	9.8	0.0%
	"Idaho"	"16"	"2014"	"2014"	"30-34 years"	"30-34"	121	108244	111.8	91.9	131.7	10.2	0.0%
	"Idaho"	"16"	"2014"	"2014"	"35-39 years"	"35-39"	153	102158	149.8	126.0	173.5	12.1	0.1%
	"Idaho"	"16"	"2014"	"2014"	"40-44 years"	"40-44"	193	97633	197.7	169.8	225.6	14.2	0.1%
	"Idaho"	"16"	"2014"	"2014"	"45-49 years"	"45-49"	248	94642	262.0	229.4	294.7	16.6	0.1%
	"Idaho"	"16"	"2014"	"2014"	"50-54 years"	"50-54"	466	104599	445.5	405.1	486.0	20.6	0.2%
	"Idaho"	"16"	"2014"	"2014"	"55-59 years"	"55-59"	679	104153	651.9	602.9	701.0	25.0	0.3%
	"Idaho"	"16"	"2014"	"2014"	"60-64 years "	"60-64"	865	95412	906.6	846.2	967.0	30.8	0.3%
	"Idaho"	"16"	"2014"	"2014"	"65-69 years"	"65-69"	1031	80012	1288.6	1209.9	1367.2	40.1	0.4%
	"Idaho"	"16"	"2014"	"2014"	"70-74 years"	"70-74"	1289	58681	2196.6	2076.7	2316.5	61.2	0.5%
	"Idaho"	"16"	"2014"	"2014"	"75-79 years"	"75-79"	1495	39986	3738.8	3549.3	3928.3	96.7	0.6%
	"Idaho"	"16"	"2014"	"2014"	"80-84 years"	"80-84"	1599	27348	5846.9	5560.3	6133.4	146.2	0.6%
	"Idaho"	"16"	"2014"	"2014"	"85-89 years"	"85-89"	1843	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2014"	"2014"	"90-94 years"	"90-94"	1441	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2014"	"2014"	"95-99 years"	"95-99"	600	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2014"	"2014"	"100+ years"	"100+"	129	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"2015"	"2015"	"< 1 year"	"1"	106	22649	468.0	378.9	557.1	45.5	0.0%
	"Idaho"	"16"	"2015"	"2015"	"1-4 years"	"1-4"	16	90274	Unreliable	10.1	28.8	4.4	0.0%
	"Idaho"	"16"	"2015"	"2015"	"5-9 years"	"5-9"	Suppressed	123545	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2015"	"2015"	"10-14 years"	"10-14"	25	123763	20.2	13.1	29.8	4.0	0.0%
	"Idaho"	"16"	"2015"	"2015"	"15-19 years"	"15-19"	64	117177	54.6	42.1	69.7	6.8	0.0%
	"Idaho"	"16"	"2015"	"2015"	"20-24 years"	"20-24"	108	111353	97.0	78.7	115.3	9.3	0.0%
	"Idaho"	"16"	"2015"	"2015"	"25-29 years"	"25-29"	90	109121	82.5	66.3	101.4	8.7	0.0%
	"Idaho"	"16"	"2015"	"2015"	"30-34 years"	"30-34"	128	108570	117.9	97.5	138.3	10.4	0.0%
	"Idaho"	"16"	"2015"	"2015"	"35-39 years"	"35-39"	168	104856	160.2	136.0	184.4	12.4	0.1%
	"Idaho"	"16"	"2015"	"2015"	"40-44 years"	"40-44"	203	97776	207.6	179.1	236.2	14.6	0.1%
	"Idaho"	"16"	"2015"	"2015"	"45-49 years"	"45-49"	261	95984	271.9	238.9	304.9	16.8	0.1%
	"Idaho"	"16"	"2015"	"2015"	"50-54 years"	"50-54"	443	102798	430.9	390.8	471.1	20.5	0.2%
	"Idaho"	"16"	"2015"	"2015"	"55-59 years"	"55-59"	697	105525	660.5	611.5	709.5	25.0	0.3%
	"Idaho"	"16"	"2015"	"2015"	"60-64 years "	"60-64"	948	98045	966.9	905.4	1028.5	31.4	0.4%
	"Idaho"	"16"	"2015"	"2015"	"65-69 years"	"65-69"	1067	84451	1263.5	1187.6	1339.3	38.7	0.4%
	"Idaho"	"16"	"2015"	"2015"	"70-74 years"	"70-74"	1280	61293	2088.3	1973.9	2202.7	58.4	0.5%
	"Idaho"	"16"	"2015"	"2015"	"75-79 years"	"75-79"	1512	41830	3614.6	3432.4	3796.8	93.0	0.6%
	"Idaho"	"16"	"2015"	"2015"	"80-84 years"	"80-84"	1749	27986	6249.6	5956.7	6542.4	149.4	0.7%
	"Idaho"	"16"	"2015"	"2015"	"85-89 years"	"85-89"	1821	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2015"	"2015"	"90-94 years"	"90-94"	1588	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2015"	"2015"	"95-99 years"	"95-99"	631	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2015"	"2015"	"100+ years"	"100+"	114	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2015"	"2015"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2016"	"2016"	"< 1 year"	"1"	137	22986	596.0	496.2	695.8	50.9	0.1%
	"Idaho"	"16"	"2016"	"2016"	"1-4 years"	"1-4"	25	92303	27.1	17.5	40.0	5.4	0.0%
	"Idaho"	"16"	"2016"	"2016"	"5-9 years"	"5-9"	19	122679	Unreliable	9.3	24.2	3.6	0.0%
	"Idaho"	"16"	"2016"	"2016"	"10-14 years"	"10-14"	30	125126	24.0	16.2	34.2	4.4	0.0%
	"Idaho"	"16"	"2016"	"2016"	"15-19 years"	"15-19"	63	118791	53.0	40.8	67.9	6.7	0.0%
	"Idaho"	"16"	"2016"	"2016"	"20-24 years"	"20-24"	92	111851	82.3	66.3	100.9	8.6	0.0%
	"Idaho"	"16"	"2016"	"2016"	"25-29 years"	"25-29"	110	111817	98.4	80.0	116.8	9.4	0.0%
	"Idaho"	"16"	"2016"	"2016"	"30-34 years"	"30-34"	123	109744	112.1	92.3	131.9	10.1	0.0%
	"Idaho"	"16"	"2016"	"2016"	"35-39 years"	"35-39"	174	108209	160.8	136.9	184.7	12.2	0.1%
	"Idaho"	"16"	"2016"	"2016"	"40-44 years"	"40-44"	182	97786	186.1	159.1	213.2	13.8	0.1%
	"Idaho"	"16"	"2016"	"2016"	"45-49 years"	"45-49"	257	98182	261.8	229.8	293.8	16.3	0.1%
	"Idaho"	"16"	"2016"	"2016"	"50-54 years"	"50-54"	434	100427	432.2	391.5	472.8	20.7	0.2%
	"Idaho"	"16"	"2016"	"2016"	"55-59 years"	"55-59"	732	107320	682.1	632.7	731.5	25.2	0.3%
	"Idaho"	"16"	"2016"	"2016"	"60-64 years "	"60-64"	951	100930	942.2	882.4	1002.1	30.6	0.4%
	"Idaho"	"16"	"2016"	"2016"	"65-69 years"	"65-69"	1171	89990	1301.3	1226.7	1375.8	38.0	0.5%
	"Idaho"	"16"	"2016"	"2016"	"70-74 years"	"70-74"	1274	63750	1998.4	1888.7	2108.2	56.0	0.5%
	"Idaho"	"16"	"2016"	"2016"	"75-79 years"	"75-79"	1620	43912	3689.2	3509.5	3868.8	91.7	0.6%
	"Idaho"	"16"	"2016"	"2016"	"80-84 years"	"80-84"	1814	28902	6276.4	5987.5	6565.2	147.4	0.7%
	"Idaho"	"16"	"2016"	"2016"	"85-89 years"	"85-89"	1896	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2016"	"2016"	"90-94 years"	"90-94"	1536	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2016"	"2016"	"95-99 years"	"95-99"	598	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2016"	"2016"	"100+ years"	"100+"	128	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2016"	"2016"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2017"	"2017"	"< 1 year"	"1"	102	22911	445.2	358.8	531.6	44.1	0.0%
	"Idaho"	"16"	"2017"	"2017"	"1-4 years"	"1-4"	25	94126	26.6	17.2	39.2	5.3	0.0%
