"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Bonneville County, ID"	"16019"	"2024 (provisional and partial)"	"2024"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Bonneville County, ID"	"16019"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"5-9 years"	"5-9"	0	754	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"10-14 years"	"10-14"	Suppressed	789	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"15-19 years"	"15-19"	0	797	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"20-24 years"	"20-24"	0	576	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"25-29 years"	"25-29"	0	506	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"30-34 years"	"30-34"	Suppressed	557	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"35-39 years"	"35-39"	Suppressed	673	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"40-44 years"	"40-44"	Suppressed	639	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"45-49 years"	"45-49"	Suppressed	714	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"50-54 years"	"50-54"	Suppressed	729	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"55-59 years"	"55-59"	Suppressed	874	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"60-64 years "	"60-64"	10	948	Unreliable	505.8	1939.9	333.6	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"65-69 years"	"65-69"	Suppressed	973	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"70-74 years"	"70-74"	13	704	Unreliable	983.2	3157.7	512.2	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"75-79 years"	"75-79"	18	485	Unreliable	2199.6	5865.5	874.8	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"80-84 years"	"80-84"	13	255	Unreliable	2714.5	8717.8	1413.9	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"5-9 years"	"5-9"	Suppressed	762	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"10-14 years"	"10-14"	0	779	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"15-19 years"	"15-19"	0	777	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"20-24 years"	"20-24"	0	606	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"25-29 years"	"25-29"	0	549	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"30-34 years"	"30-34"	Suppressed	554	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"35-39 years"	"35-39"	Suppressed	687	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"40-44 years"	"40-44"	Suppressed	670	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"45-49 years"	"45-49"	Suppressed	702	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"50-54 years"	"50-54"	Suppressed	731	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"55-59 years"	"55-59"	Suppressed	843	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"60-64 years "	"60-64"	Suppressed	971	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"65-69 years"	"65-69"	16	1014	Unreliable	901.9	2562.4	394.5	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"70-74 years"	"70-74"	19	759	Unreliable	1507.2	3909.2	574.3	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"75-79 years"	"75-79"	12	490	Unreliable	1265.4	4277.9	707.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"80-84 years"	"80-84"	15	283	Unreliable	2966.6	8742.1	1368.5	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"5-9 years"	"5-9"	0	824	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"10-14 years"	"10-14"	0	789	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"15-19 years"	"15-19"	0	786	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"20-24 years"	"20-24"	0	605	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"25-29 years"	"25-29"	0	646	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"30-34 years"	"30-34"	Suppressed	550	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"35-39 years"	"35-39"	Suppressed	666	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"40-44 years"	"40-44"	0	700	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"45-49 years"	"45-49"	0	703	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"50-54 years"	"50-54"	Suppressed	727	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"55-59 years"	"55-59"	Suppressed	848	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"60-64 years "	"60-64"	11	984	Unreliable	558.0	2000.2	337.1	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"65-69 years"	"65-69"	19	1078	Unreliable	1061.2	2752.4	404.4	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"70-74 years"	"70-74"	20	825	2424.2	1480.8	3744.0	542.1	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"75-79 years"	"75-79"	17	528	Unreliable	1875.6	5155.1	780.9	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"80-84 years"	"80-84"	21	302	6953.6	4304.4	10629.4	1517.4	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"85-89 years"	"85-89"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"100+ years"	"100+"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2020"	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"< 1 year"	"1"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"5-9 years"	"5-9"	0	857	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"10-14 years"	"10-14"	0	803	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"15-19 years"	"15-19"	0	757	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"20-24 years"	"20-24"	0	581	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"25-29 years"	"25-29"	Suppressed	637	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"30-34 years"	"30-34"	Suppressed	594	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"35-39 years"	"35-39"	Suppressed	688	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"40-44 years"	"40-44"	0	722	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"45-49 years"	"45-49"	Suppressed	682	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"50-54 years"	"50-54"	Suppressed	723	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"55-59 years"	"55-59"	Suppressed	826	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"60-64 years "	"60-64"	15	1018	Unreliable	824.7	2430.3	380.5	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"65-69 years"	"65-69"	15	1039	Unreliable	808.0	2381.2	372.8	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"70-74 years"	"70-74"	27	815	3312.9	2183.2	4820.1	637.6	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"75-79 years"	"75-79"	26	510	5098.0	3330.2	7469.8	999.8	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"80-84 years"	"80-84"	22	294	7483.0	4689.5	11329.3	1595.4	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"85-89 years"	"85-89"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2021"	"2021"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"5-9 years"	"5-9"	0	899	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"10-14 years"	"10-14"	0	889	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"15-19 years"	"15-19"	Suppressed	809	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"20-24 years"	"20-24"	Suppressed	641	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"25-29 years"	"25-29"	Suppressed	715	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"30-34 years"	"30-34"	Suppressed	616	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"35-39 years"	"35-39"	Suppressed	701	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"40-44 years"	"40-44"	Suppressed	791	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"45-49 years"	"45-49"	0	702	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"50-54 years"	"50-54"	Suppressed	766	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"55-59 years"	"55-59"	Suppressed	807	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"60-64 years "	"60-64"	13	1053	Unreliable	657.4	2111.1	342.4	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"65-69 years"	"65-69"	14	1047	Unreliable	731.0	2243.5	357.4	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"70-74 years"	"70-74"	17	842	Unreliable	1176.1	3232.6	489.7	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"75-79 years"	"75-79"	18	563	Unreliable	1894.8	5052.9	753.6	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"80-84 years"	"80-84"	25	346	7225.4	4675.9	10666.2	1445.1	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"90-94 years"	"90-94"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2022"	"2022"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"5-9 years"	"5-9"	0	899	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"10-14 years"	"10-14"	0	889	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"15-19 years"	"15-19"	0	809	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"20-24 years"	"20-24"	Suppressed	641	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"25-29 years"	"25-29"	0	715	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"30-34 years"	"30-34"	Suppressed	616	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"35-39 years"	"35-39"	0	701	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"40-44 years"	"40-44"	Suppressed	791	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"45-49 years"	"45-49"	Suppressed	702	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"50-54 years"	"50-54"	Suppressed	766	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"55-59 years"	"55-59"	Suppressed	807	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"60-64 years "	"60-64"	11	1053	Unreliable	521.5	1869.1	315.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"65-69 years"	"65-69"	18	1047	Unreliable	1018.9	2717.1	405.2	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"70-74 years"	"70-74"	19	842	Unreliable	1358.6	3523.8	517.7	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"75-79 years"	"75-79"	25	563	4440.5	2873.7	6555.1	888.1	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"80-84 years"	"80-84"	22	346	6358.4	3984.7	9626.7	1355.6	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"5-9 years"	"5-9"	0	899	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"10-14 years"	"10-14"	0	889	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"15-19 years"	"15-19"	0	809	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"20-24 years"	"20-24"	0	641	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"25-29 years"	"25-29"	0	715	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"30-34 years"	"30-34"	0	616	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"35-39 years"	"35-39"	0	701	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"40-44 years"	"40-44"	Suppressed	791	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"45-49 years"	"45-49"	0	702	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"50-54 years"	"50-54"	0	766	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"55-59 years"	"55-59"	Suppressed	807	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"60-64 years "	"60-64"	Suppressed	1053	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Boundary County, ID"	"16021"	"2024 (provisional and partial)"	"2024"	"65-69 years"	"65-69"	Suppressed	1047	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
